,Type,Country,Fatal,Lustro
2177,Provoked,AUSTRALIA,N,1991-1995
2180,Unprovoked,SOUTH AFRICA,N,1991-1995
2181,Unprovoked,USA,N,1991-1995
2182,Unprovoked,BRAZIL,N,1991-1995
2183,Unprovoked,BRAZIL,N,1991-1995
2186,Unprovoked,USA,Y,1991-1995
2187,Unprovoked,BRAZIL,Y,1991-1995
2188,Unprovoked,SOUTH AFRICA,N,1991-1995
2189,Unprovoked,USA,N,1991-1995
2190,Unprovoked,USA,N,1991-1995
2191,Unprovoked,BRAZIL,N,1991-1995
2192,Unprovoked,BRAZIL,N,1991-1995
2193,Provoked,USA,N,1991-1995
2194,Unprovoked,USA,N,1991-1995
2195,Unprovoked,USA,N,1991-1995
2196,Unprovoked,USA,N,1991-1995
2197,Unprovoked,USA,Y,1991-1995
2198,Unprovoked,USA,N,1991-1995
2200,Unprovoked,BRAZIL,N,1991-1995
2201,Unprovoked,BRAZIL,Y,1991-1995
2203,Unprovoked,SOUTH AFRICA,Y,1991-1995
2204,Unprovoked,SOUTH AFRICA,N,1991-1995
2205,Unprovoked,BRAZIL,N,1991-1995
2206,Unprovoked,USA,N,1991-1995
2208,Unprovoked,USA,N,1991-1995
2209,Unprovoked,USA,N,1991-1995
2210,Unprovoked,USA,N,1991-1995
2211,Unprovoked,USA,N,1991-1995
2212,Unprovoked,USA,N,1991-1995
2213,Unprovoked,USA,N,1991-1995
2217,Unprovoked,USA,N,1991-1995
2218,Unprovoked,SOUTH AFRICA,Y,1991-1995
2221,Provoked,USA,N,1991-1995
2222,Unprovoked,BRAZIL,N,1991-1995
2223,Unprovoked,SOUTH AFRICA,N,1991-1995
2224,Unprovoked,USA,N,1991-1995
2225,Provoked,USA,N,1991-1995
2226,Unprovoked,SOUTH AFRICA,N,1991-1995
2228,Unprovoked,BRAZIL,N,1991-1995
2229,Unprovoked,USA,Y,1991-1995
2230,Unprovoked,SOUTH AFRICA,N,1991-1995
2231,Provoked,AUSTRALIA,N,1991-1995
2232,Unprovoked,AUSTRALIA,N,1991-1995
2233,Unprovoked,SOUTH AFRICA,N,1991-1995
2235,Unprovoked,USA,N,1991-1995
2236,Unprovoked,USA,Y,1991-1995
2237,Unprovoked,USA,N,1991-1995
2238,Unprovoked,AUSTRALIA,Y,1991-1995
2239,Unprovoked,USA,N,1991-1995
2241,Unprovoked,USA,N,1991-1995
2242,Unprovoked,USA,N,1991-1995
2243,Provoked,USA,N,1991-1995
2244,Unprovoked,USA,N,1991-1995
2246,Unprovoked,SOUTH AFRICA,N,1991-1995
2249,Unprovoked,USA,N,1991-1995
2250,Unprovoked,USA,N,1991-1995
2253,Unprovoked,USA,N,1991-1995
2254,Unprovoked,USA,N,1991-1995
2255,Provoked,USA,N,1991-1995
2256,Unprovoked,USA,N,1991-1995
2257,Provoked,AUSTRALIA,N,1991-1995
2258,Unprovoked,USA,N,1991-1995
2261,Unprovoked,SOUTH AFRICA,N,1991-1995
2262,Unprovoked,USA,N,1991-1995
2263,Unprovoked,BRAZIL,Y,1991-1995
2267,Unprovoked,USA,N,1991-1995
2268,Unprovoked,AUSTRALIA,Y,1991-1995
2269,Unprovoked,AUSTRALIA,Y,1991-1995
2271,Unprovoked,USA,N,1991-1995
2275,Unprovoked,BRAZIL,N,1991-1995
2276,Unprovoked,USA,N,1991-1995
2278,Unprovoked,USA,N,1991-1995
2279,Unprovoked,USA,N,1991-1995
2283,Provoked,AUSTRALIA,N,1991-1995
2284,Unprovoked,BRAZIL,N,1991-1995
2285,Unprovoked,AUSTRALIA,N,1991-1995
2287,Unprovoked,USA,N,1991-1995
2291,Unprovoked,USA,N,1991-1995
2292,Unprovoked,USA,N,1991-1995
2293,Unprovoked,USA,N,1991-1995
2294,Unprovoked,USA,N,1991-1995
2295,Unprovoked,USA,N,1991-1995
2296,Unprovoked,USA,N,1991-1995
2297,Provoked,USA,N,1991-1995
2299,Unprovoked,USA,N,1991-1995
2300,Unprovoked,USA,N,1991-1995
2301,Unprovoked,USA,Y,1991-1995
2302,Unprovoked,USA,N,1991-1995
2303,Unprovoked,USA,N,1991-1995
2304,Unprovoked,AUSTRALIA,N,1991-1995
2305,Unprovoked,BRAZIL,N,1991-1995
2306,Unprovoked,AUSTRALIA,Y,1991-1995
2307,Unprovoked,BRAZIL,N,1991-1995
2308,Unprovoked,USA,N,1991-1995
2309,Unprovoked,USA,N,1991-1995
2310,Unprovoked,BRAZIL,Y,1991-1995
2311,Unprovoked,USA,N,1991-1995
2313,Unprovoked,AUSTRALIA,N,1991-1995
2315,Unprovoked,USA,N,1991-1995
2316,Provoked,USA,N,1991-1995
2319,Unprovoked,USA,N,1991-1995
2320,Unprovoked,BRAZIL,N,1991-1995
2321,Unprovoked,BRAZIL,N,1991-1995
2322,Unprovoked,BRAZIL,Y,1991-1995
2331,Unprovoked,SOUTH AFRICA,N,1991-1995
2332,Unprovoked,USA,N,1991-1995
2333,Unprovoked,AUSTRALIA,N,1991-1995
2336,Unprovoked,USA,N,1991-1995
2337,Unprovoked,USA,Y,1991-1995
2341,Unprovoked,AUSTRALIA,N,1991-1995
2342,Unprovoked,SOUTH AFRICA,N,1991-1995
2343,Unprovoked,SOUTH AFRICA,N,1991-1995
2348,Unprovoked,USA,N,1991-1995
2349,Unprovoked,USA,Y,1991-1995
2350,Unprovoked,USA,N,1991-1995
2351,Unprovoked,USA,Y,1991-1995
2352,Provoked,USA,N,1991-1995
2353,Unprovoked,AUSTRALIA,N,1991-1995
2354,Unprovoked,USA,N,1991-1995
2355,Unprovoked,USA,N,1991-1995
2357,Unprovoked,AUSTRALIA,Y,1991-1995
2358,Provoked,AUSTRALIA,N,1991-1995
2359,Unprovoked,USA,N,1991-1995
2360,Unprovoked,USA,N,1991-1995
2361,Provoked,USA,N,1991-1995
2363,Unprovoked,USA,N,1991-1995
2364,Unprovoked,USA,N,1991-1995
2365,Unprovoked,USA,N,1991-1995
2367,Unprovoked,USA,N,1991-1995
2371,Unprovoked,USA,N,1991-1995
2372,Unprovoked,USA,N,1991-1995
2374,Unprovoked,USA,N,1991-1995
2375,Unprovoked,SOUTH AFRICA,N,1991-1995
2376,Provoked,BRAZIL,N,1991-1995
2377,Provoked,USA,N,1991-1995
2378,Unprovoked,USA,N,1991-1995
2379,Unprovoked,USA,N,1991-1995
2380,Unprovoked,AUSTRALIA,N,1991-1995
2381,Unprovoked,USA,N,1991-1995
2382,Unprovoked,SOUTH AFRICA,N,1991-1995
2383,Unprovoked,AUSTRALIA,N,1991-1995
2384,Unprovoked,AUSTRALIA,N,1991-1995
2385,Unprovoked,AUSTRALIA,N,1991-1995
